service (원래 사업 이름)	띄어쓰기한 사업 이름 	category_one	category_two	category_three	assigned	summary
한강교량 온라인 안전감시 시스템 보강용역	한강교량 온라인 안전 감시 시스템 보강 용역	수송및교통	도로	도로관리 	0	0
한강교량 온라인 안전감시시스템 유지관리	한강교량 온라인 안전 감시 시스템 유지 관리	수송및교통	도로	도로관리 	259691000	1046141000
한강교량 일상유지보수	한강교량 일상 유지 보수 	수송및교통	도로	도로관리 	6000000000	33425000000
한강교량 하상잔재물 조사 및 수거	한강교량 하상 잔재물 조사 수거	수송및교통	도로	도로관리 	500000000	500000000
한강난지공원 민간위탁시설 전원분리공사	한강난지공원 민간 위탁 시설 전원 분리 공사	환경보호	환경보호일반	도시환경 	50000000	50000000
한강대교 보수	한강대교 보수	수송및교통	도로	도로관리 	2439000000	4839000000
한강둔치 자동차 도로개선 (주민참여예산)	한강둔치 자동차 도로 개선 주민참여 	환경보호	환경보호일반	도시환경 	67000000	67000000
한강로 2가 11-8번지 주변 외 1개소 사각형거 보수보강	한강로 2가 11-8번지 주변 1개소 사각형거 보수 보강	환경보호	상하수도및수질	상수도 	1200000000	1200000000
한강로 빗물펌프장 시설용량 증대	한강로 빗물 펌프장 시설 용량  증대	지역개발	수자원	하천 	0	528000000
한강로 일대 방재시설 확충사업(유역분할)	한강로 일대 방재 시설 확충 사업 유역 분할 	환경보호	상하수도및수질	상수도 	3000000000	19830000000
한강로~청파로간 연결도로 확장(교통개선분담금 계정)	한강로 청파로 연결 도로 확장 교통 개선 분담금 계정 	수송및교통	도로	도로관리 	0	0
한강망원공원 야외수영장 리모델링공사	한강망원공원 야외 수영장 리모델링 공사	환경보호	환경보호일반	도시환경 	0	0
한강변 관리기본계획 수립	한강변 관리 기본 계획 수립	지역개발	지역및도시	건설건축 	800000000	1771000000
한강사업본부 청사 시설개선 및 유지관리	한강 사업 본부 청사 시설 개선 유지 관리	환경보호	환경보호일반	도시환경 	1654199000	6870470000
한강상 교량 연결램프 구조개선	한강상 교량 연결 램프 구조 개선	수송및교통	도로	도로관리 	3500000000	14000000000
한강상 교량 연결램프 구조개선	한강상 교량 연결 램프 구조 개선	수송및교통	도로	도로관리 	0	1350000000
한강시민위원회 운영	한강 시민 위원회 운영	환경보호	환경보호일반	도시환경 	23390000	126060000
한강안전시스템 구축	한강 안전 시스템 구축	공공질서및안전	재난방재및민방위	민방위 	339402000	3497602000
한강저수로 정비	한강 저수로 정비	환경보호	환경보호일반	도시환경 	2316250000	11703900000
한국민속예술축제 및 청소년민속예술제 참가	한국 민속 예술 축제 청소년 민속 예술제 참가	문화체육관광	문화재	문화재보존정책 	0	0
한국지방세연구원 법정출연금	한국지방세연구원 법정 출연금	일반공공행정	일반행정	일반행정지원 	1975228000	7430694000
한국지역정보개발원 분담금 납부	한국지역정보개발원 분담금 납부	일반공공행정	일반행정	일반행정지원 	320000000	1590000000
한국폴리텍 서울강서캠퍼스 지원	한국폴리텍 서울 강서 캠퍼스 지원	사회복지	노동	고용정책 	455361000	3195014000
한글 마루지 조성사업	한글 마루지 조성 사업	지역개발	지역및도시	건설건축 	0	510800000
한글날 예쁜엽서 공모전 지원	한글날 예쁜 엽서 공모전 지원	문화체육관광	문화예술	지역문화예술진흥 	100000000	100000000
한남1고가도로 보수공사	한남1고가도로 보수 공사	수송및교통	도로	도로관리 	0	700000000
한남대교남단1교 포장개량공사	한남대교 남단 1교 포장 개량 공사	수송및교통	도로	도로관리 	323000000	323000000
한남동 순천향병원 주변 하수관거 보수보강	한남동 순천향병원 주변 하수관거 보수 보강	환경보호	상하수도및수질	상수도 	0	600000000
한남로 일대 수해지역 침수방지	한남로 일대 수해 지역 침수 방지	환경보호	상하수도및수질	상수도 	0	0
한남보도육교 정비	한남 보도 육교 정비	지역개발	지역및도시	건설건축 	0	0
한류관광 활성화	한류 관광 활성화	문화체육관광	관광	관광정책 	310000000	1240000000
한류문화 활용 서울마케팅	한류 문화 활용 서울 마케팅	문화체육관광	관광	관광정책 	0	1400000000
한민족 민속문화대축제	한민족 민속 문화 대축제	사회복지	보육가족및여성	가족기능강화 	0	0
한방건강증진사업	한방 건강 증진 사업	보건	보건의료	지역보건 	0	200000000
한부모 포털통합서비스 시스템 구축	한부모 포털 통합 서비스 시스템 구축	사회복지	보육가족및여성	가족기능강화 	0	0
한부모가정 이해교육 강사양성 및 교육(주민참여예산)	한부모가정 이해 교육 강사 양성 교육 주민참여 	사회복지	보육가족및여성	가족기능강화 	0	58000000
한부모가족 민간협력사업 지원	한부모가족 민간 협력 사업 지원	사회복지	보육가족및여성	가족기능강화 	0	0
한부모가족 복지시설 입소자 상담지원	한부모가족 복지 시설 입소자 상담 지원	사회복지	보육가족및여성	가족기능강화 	120952000	703712000
한부모가족복지시설 기능보강	한부모가족 복지 시설 기능 보강	사회복지	보육가족및여성	가족기능강화 	451980000	2852460000
한부모가족복지시설 운영지원	한부모가족 복지 시설 운영 지원	사회복지	보육가족및여성	가족기능강화 	5693070000	28786290000
한부모가족자녀 교통비 등 지원	한부모가족 자녀 교통비 지원	사회복지	보육가족및여성	가족기능강화 	17382528000	93908583000
한부모가족자녀 양육비 등 지원	한부모가족 자녀 양육비 지원	사회복지	보육가족및여성	가족기능강화 	12200240000	58078130000
한부모가족지원센터 설치(주민참여예산)	한부모가족 지원 센터 설치 주민참여 	사회복지	보육가족및여성	가족기능강화 	0	200000000
한브랜드 한옥도시건축지원	한브랜드 한옥 도시 건축 지원	문화체육관광	문화재	문화재보존정책 	0	0
한성백제 문화제 지원	한성백제 문화제 지원	문화체육관광	문화예술	지역문화예술진흥 	159000000	159000000
한성백제박물관 건립백서 발간	한성백제 박물관 건립백서 발간	문화체육관광	문화재	문화재보존정책 	0	0
한센병환자 관리지원	한센병 환자 관리 지원	보건	보건의료	지역보건 	922863000	4627854000
한센인피해사건 피해자 생활지원사업	한센인 피해 사건 피해자 생활 지원 사업	보건	보건의료	지역보건 	12600000	73800000
한양도성 가상전시관 구축	한양도성 가상 전시관 구축	문화체육관광	문화예술	지역문화예술진흥 	0	546474000
한양도성 경관조명 관리 및 인왕지구 경관조명 조성	한양도성 경관 조명 관리 인왕지구 경관 조명 조성	지역개발	지역및도시	건설건축 	1687000000	2407000000
한양도성 교육프로그램 운영	한양도성 교육 프로그램 운영	문화체육관광	문화예술	지역문화예술진흥 	0	58998000
한양도성 문화유산 교육	한양도성 문화 유산 교육	문화체육관광	문화재	문화재보존정책 	0	0
한양도성 발굴 조사	한양도성 발굴 조사	문화체육관광	문화예술	지역문화예술진흥 	0	0
한양도성 성곽 과학적 보존	한양도성 성곽 과학적 보존	문화체육관광	문화예술	지역문화예술진흥 	0	40000000
한양도성 시민순성관 운영	한양도성 시민 순성관 운영	문화체육관광	문화재	문화재보존정책 	42000000	228000000
한양도성 안내판 개선 및 확충	한양도성 안내판 개선 확충	문화체육관광	문화재	문화재보존정책 	226239000	1009956000
한양도성 원형 발굴조사 및 연구	한양도성 원형 발굴 조사 연구	문화체육관광	문화재	문화재보존정책 	200000000	200000000
한양도성 유네스코 등재 신청서 작성 학술용역	한양도성 유네스코 등재 신청서 작성 학술 용역	문화체육관광	문화재	문화재보존정책 	0	400000000
한양도성 유네스코 등재 신청용 홍보영상 및 기록사진 촬영	한양도성 유네스코 등재 신청용 홍보 영상 기록 사진 촬영	문화체육관광	문화재	문화재보존정책 	0	0
한양도성 인간띠잇기 사업	한양도성 인간띠잇기 사업	문화체육관광	문화재	문화재보존정책 	0	0
한양도성 자문위원회 운영	한양도성 자문 위원회 운영	문화체육관광	문화재	문화재보존정책 	49860000	250800000
한양도성 전문해설사 양성사업	한양도성 전문 해설사 양성 사업	문화체육관광	문화재	문화재보존정책 	42400000	219600000
한양도성 전시관 · 연구소 운영	한양도성 전시관 연구소 운영	문화체육관광	문화예술	지역문화예술진흥 	1103005000	6155773000
한양도성 전시관 홍보마케팅 강화	한양도성 전시관 홍보 마케팅 강화	문화체육관광	문화예술	지역문화예술진흥 	0	0
한양도성 정밀실측 및 관리구간 표시	한양도성 정밀 실측 관리 구간 표시	문화체육관광	문화재	문화재보존정책 	500000000	2300000000
한양도성 주변 완충지대 보존 관리기준 수립 용역	한양도성 주변 완충지대 보존 관리 기준 수립 용역	문화체육관광	문화재	문화재보존정책 	300000000	300000000
한양도성 탐방로 조성 및 정비	한양도성 탐방로 조성 정비	문화체육관광	문화재	문화재보존정책 	500000000	2450000000
한양도성 탐방안내센터 확보	한양도성 탐방 안내 센터 확보	문화체육관광	문화재	문화재보존정책 	1130000000	1460000000
한양도성 톺아보기	한양도성 톺아보기	문화체육관광	문화재	문화재보존정책 	300000000	1550000000
한양도성 학술행사 개최	한양도성 학술 행사 개최	문화체육관광	문화재	문화재보존정책 	146102000	346102000
한양도성 홈페이지 제작	한양도성 홈페이지 제작	문화체육관광	문화재	문화재보존정책 	0	0
한양도성 홍보마케팅	한양도성 홍보 마케팅	문화체육관광	문화재	문화재보존정책 	89560000	608240000
